,country,year,population
0,Afghanistan,1980,14185729.0
1,Afghanistan,1981,13984092.0
2,Afghanistan,1982,13672870.0
3,Afghanistan,1983,13300056.0
4,Afghanistan,1984,12931791.0
5,Afghanistan,1985,12625292.0
6,Afghanistan,1986,12372113.0
7,Afghanistan,1987,12183387.0
8,Afghanistan,1988,12156685.0
9,Afghanistan,1989,12414686.0
10,Afghanistan,1990,13032161.0
11,Afghanistan,1991,14069854.0
12,Afghanistan,1992,15472076.0
13,Afghanistan,1993,17053213.0
14,Afghanistan,1994,18553819.0
15,Afghanistan,1995,19789880.0
16,Afghanistan,1996,20684982.0
17,Afghanistan,1997,21299350.0
18,Afghanistan,1998,21752257.0
19,Afghanistan,1999,22227543.0
20,Afghanistan,2000,22856302.0
21,Afghanistan,2001,23677385.0
22,Afghanistan,2002,24639841.0
23,Afghanistan,2003,25678639.0
24,Afghanistan,2004,26693486.0
25,Afghanistan,2005,27614718.0
26,Afghanistan,2006,28420974.0
27,Afghanistan,2007,29145841.0
28,Afghanistan,2008,29839994.0
29,Afghanistan,2009,30577756.0
30,Afghanistan,2010,31411743.0
31,Afghanistan,2011,32358260.0
32,Afghanistan,2012,33397058.0
33,Afghanistan,2013,34499915.0
34,Albania,1980,2671300.0
35,Albania,1981,2725029.0
36,Albania,1982,2777592.0
37,Albania,1983,2831682.0
38,Albania,1984,2891004.0
39,Albania,1985,2957390.0
40,Albania,1986,3033393.0
41,Albania,1987,3116009.0
42,Albania,1988,3194854.0
43,Albania,1989,3255859.0
44,Albania,1990,3289483.0
45,Albania,1991,3291695.0
46,Albania,1992,3266983.0
47,Albania,1993,3224901.0
48,Albania,1994,3179442.0
49,Albania,1995,3141102.0
50,Albania,1996,3112597.0
51,Albania,1997,3091902.0
52,Albania,1998,3079037.0
53,Albania,1999,3072725.0
54,Albania,2000,3071856.0
55,Albania,2001,3077378.0
56,Albania,2002,3089778.0
57,Albania,2003,3106701.0
58,Albania,2004,3124861.0
59,Albania,2005,3141800.0
60,Albania,2006,3156607.0
61,Albania,2007,3169665.0
62,Albania,2008,3181397.0
63,Albania,2009,3192723.0
64,Albania,2010,3204284.0
65,Albania,2011,3215988.0
66,Albania,2012,3227373.0
67,Albania,2013,3238316.0
70,Algeria,1980,18811199.0
71,Algeria,1981,19442423.0
72,Algeria,1982,20095648.0
73,Algeria,1983,20762767.0
