country_NotMap,country_NotScd
Bahamas,The Bahamas
Bolivia (Plurinational State of),Bolivia
Brunei Darussalam,Brunei
Congo,Democratic Republic of the Congo
Czechia,Czech Republic
Democratic People's Republic of Korea,korea
Guinea-Bissau,Guinea Bissau
Iran (Islamic Republic of),Iran
Lao People's Democratic Republic,Laos
Republic of Korea,North Korea
Republic of Moldova,Moldova
Russian Federation,Russia
Serbia,Republic of Serbia
Syrian Arab Republic,Syria
Republic of North Macedonia,Macedonia
United Kingdom of Great Britain and Northern Ireland,United Kingdom
Venezuela (Bolivarian Republic of),Bolivia
Viet Nam,Vietnam
Timor-Leste,East Timor
